Crossover Events,Max Generation,Mean Age,Mean Available Energy,Mean Construction Mass,Mean Death Rate,Mean Generation,Mean Genetic Size,Mean Growth Rate,Mean Has Mated,Mean Health,Mean Herbivore Factor,Mean Max Turning,Mean Meat Digestion Rate,Mean Mutations,Mean Network Depth,Mean Network Size,Mean Plant Digestion Rate,Mean Retinal Production,Mean Size,Mean Speed,Mean Split Radius,Mean Total Mass,Meat Pellets,Plants,Protozoa,Protozoa Born,Sum Age,Sum Available Energy,Sum Construction Mass,Sum Death Rate,Sum Generation,Sum Genetic Size,Sum Growth Rate,Sum Has Mated,Sum Health,Sum Herbivore Factor,Sum Max Turning,Sum Meat Digestion Rate,Sum Mutations,Sum Network Depth,Sum Network Size,Sum Plant Digestion Rate,Sum Retinal Production,Sum Size,Sum Speed,Sum Split Radius,Sum Total Mass,Time Elapsed,Total Entities Born,Var Age,Var Available Energy,Var Construction Mass,Var Death Rate,Var Generation,Var Genetic Size,Var Growth Rate,Var Has Mated,Var Health,Var Herbivore Factor,Var Max Turning,Var Meat Digestion Rate,Var Mutations,Var Network Depth,Var Network Size,Var Plant Digestion Rate,Var Retinal Production,Var Size,Var Speed,Var Split Radius,Var Total Mass
0.00000,1.00000,0.00000,100000.00000,0.00000,0.00000,1.00000,1.25357,7.54977,0.00000,100.00000,1.20484,0.06044,9.37489,0.00000,2.00000,11.00000,12.04837,4.23268,1.25357,0.00000,2.22371,6.39716,0.00000,1000.00000,100.00000,100.00000,0.00000,10000000.00000,0.00000,0.00000,100.00000,125.35737,754.97675,0.00000,10000.00000,120.48366,6.04375,937.48920,0.00000,200.00000,1100.00000,1204.83667,423.26801,125.35737,0.00000,222.37100,639.71576,0.00000,1100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01772,1.88241,0.00000,0.00000,0.15686,0.00062,12.26534,0.00000,0.00000,0.00000,15.68638,6.62712,0.01772,0.00000,0.19506,3.87714
0.00000,2.00000,188.61336,591723.56250,0.24484,0.03399,1.12371,1.27391,7.66079,0.15464,99.96599,1.21194,0.06094,9.26237,0.09278,2.00000,11.01031,12.11944,4.16223,1.35963,2.99251,2.16992,9.09351,1.00000,1155.00000,97.00000,112.00000,18295.49609,57397188.00000,23.74928,3.29711,109.00000,123.56948,743.09686,15.00000,9696.70117,117.55859,5.91113,898.44995,9.00000,194.00000,1068.00000,1175.58594,403.73627,131.88434,290.27332,210.48198,882.07019,2.00500,1547.00000,1368.79382,106564337664.00000,0.01955,0.00005,0.10841,0.01798,1.83778,0.13073,0.00005,0.15241,0.00059,11.27705,0.16665,0.00000,0.01020,15.24092,6.88556,0.08206,2.18864,0.21637,17.21497
4.00000,2.00000,315.74182,666284.81250,0.18371,0.03258,1.35398,1.28222,7.68644,0.19469,99.95644,1.22891,0.06032,9.14284,0.22124,2.00000,11.07080,12.28909,4.14947,1.30312,3.22974,2.10441,9.83045,1.00000,1799.00000,113.00000,140.00000,35678.82422,75290184.00000,20.75926,3.68161,153.00000,144.89096,868.56726,22.00000,11295.07715,138.86662,6.81581,1033.14087,25.00000,226.00000,1251.00000,1388.66663,468.89063,147.25282,364.96097,237.79820,1110.84143,4.01004,2325.00000,17621.20898,143199698944.00000,0.04797,0.00014,0.22868,0.01700,1.86959,0.15679,0.00758,0.15558,0.00056,11.23141,0.36698,0.00000,0.17198,15.55753,7.18964,0.23001,2.48402,0.21471,57.72109
7.00000,2.00000,440.50153,711215.93750,0.15261,0.03198,1.48800,1.27954,7.77494,0.28800,99.79230,1.21945,0.06193,9.20829,0.34400,2.00000,11.11200,12.19448,4.33275,1.27877,2.91606,2.08656,10.43650,1.00000,2161.00000,125.00000,161.00000,55062.69141,88901992.00000,19.07683,3.99692,186.00000,159.94235,971.86804,36.00000,12474.03809,152.43085,7.74110,1151.03564,43.00000,250.00000,1389.00000,1524.30957,541.59387,159.84583,364.50812,260.82019,1304.56226,6.01509,2797.00000,38782.37891,164597809152.00000,0.05647,0.00019,0.24986,0.01679,1.77417,0.20506,1.58302,0.15630,0.00059,11.02017,0.52966,0.00000,0.29146,15.63002,6.89629,0.30445,2.21138,0.19901,101.38799
15.00000,3.00000,533.81482,706175.68750,0.08557,0.03061,1.62857,1.28351,7.79787,0.31429,99.58442,1.21360,0.06246,9.22461,0.43571,2.00000,11.18571,12.13600,4.51562,1.22418,3.02000,2.07139,10.09469,2.00000,2416.00000,140.00000,186.00000,74734.07813,98864600.00000,11.97977,4.28547,228.00000,179.69180,1091.70154,44.00000,13941.81836,169.90390,8.74397,1291.44556,61.00000,280.00000,1566.00000,1699.04041,632.18732,171.38536,422.79944,289.99426,1413.25684,8.02014,3152.00000,73899.60938,179311460352.00000,0.02788,0.00021,0.27633,0.01647,1.76491,0.21551,5.28356,0.15260,0.00056,10.66000,0.60301,0.00000,0.49408,15.26039,7.60472,0.34246,2.60363,0.18676,135.50266
20.00000,3.00000,664.96338,733263.87500,0.09264,0.03084,1.68919,1.27962,7.78996,0.35135,99.46328,1.21137,0.06312,9.23604,0.47973,2.00000,11.19595,12.11372,4.47664,1.23341,2.99330,2.06864,10.55787,0.00000,2744.00000,148.00000,200.00000,98414.57813,108523056.00000,13.71087,4.56449,250.00000,189.38371,1152.91467,52.00000,14720.56543,179.28296,9.34215,1366.93347,71.00000,296.00000,1657.00000,1792.83081,662.54242,182.54524,443.00812,306.15881,1562.56506,10.02518,3564.00000,98563.34375,199115997184.00000,0.04079,0.00022,0.25475,0.01724,1.67397,0.22790,11.04768,0.15315,0.00055,10.48972,0.61445,0.00000,0.52242,15.31488,7.51995,0.35501,2.04748,0.17798,175.32162
24.00000,3.00000,808.93817,761695.43750,0.06995,0.03162,1.73684,1.27957,7.77431,0.41447,98.99037,1.22335,0.06327,9.15206,0.48026,2.00000,11.21053,12.23347,4.54650,1.26437,2.93514,2.06069,11.46919,2.00000,3030.00000,152.00000,209.00000,122958.60156,115777704.00000,10.63261,4.80553,264.00000,194.49408,1181.69458,63.00000,15046.53613,185.94868,9.61718,1391.11267,73.00000,304.00000,1704.00000,1859.48767,691.06769,192.18495,446.14178,313.22430,1743.31726,12.03023,3946.00000,124200.46875,217973030912.00000,0.04005,0.00023,0.25970,0.01778,1.69562,0.24269,14.84600,0.15483,0.00056,10.48391,0.60487,0.00000,0.56094,15.48272,7.64975,0.37482,2.35927,0.17835,240.00430
34.00000,3.00000,895.19049,750109.18750,0.06273,0.03089,1.81988,1.28053,7.82674,0.42236,98.65044,1.22973,0.06357,9.11194,0.52795,2.00000,11.19876,12.29726,4.65403,1.23513,2.99766,2.06569,10.96210,4.00000,3165.00000,161.00000,228.00000,144125.67188,120767576.00000,10.09883,4.97284,293.00000,206.16512,1260.10486,68.00000,15882.72168,197.98576,10.23551,1467.02173,85.00000,322.00000,1803.00000,1979.85852,749.29803,198.85535,482.62347,332.57602,1764.89783,14.03527,4189.00000,192091.57813,229096964096.00000,0.03733,0.00023,0.30917,0.01871,1.60116,0.24397,23.89607,0.15531,0.00057,10.57199,0.64673,0.00000,0.53192,15.53140,7.36457,0.37328,2.68592,0.16839,241.69594
45.00000,3.00000,923.17450,716920.12500,0.04353,0.02879,1.89831,1.27353,7.74776,0.44068,98.49086,1.23506,0.06532,9.08736,0.53672,2.00000,11.18079,12.35061,4.71059,1.15100,3.07621,2.08543,9.34688,2.00000,3389.00000,177.00000,256.00000,163401.89063,126894864.00000,7.70470,5.09504,336.00000,225.41550,1371.35339,78.00000,17432.88281,218.60579,11.56089,1608.46191,95.00000,354.00000,1979.00000,2186.05835,833.77417,203.72733,544.48828,369.12039,1654.39807,16.04031,4516.00000,279800.28125,162172289024.00000,0.01093,0.00022,0.27214,0.01832,1.65844,0.24648,33.74156,0.15786,0.00054,10.69953,0.59893,0.00000,0.48709,15.78625,6.92332,0.35101,2.38778,0.17406,209.31143
63.00000,3.00000,932.63287,683441.68750,0.04165,0.02695,2.01554,1.27889,7.75422,0.38342,97.91443,1.22969,0.06509,9.12027,0.63731,2.00000,11.17617,12.29692,4.61323,1.07743,2.86153,2.08580,7.66261,1.00000,3534.00000,193.00000,285.00000,179998.14063,131904240.00000,8.03829,5.20086,389.00000,246.82518,1496.56445,74.00000,18897.48438,237.33052,12.56196,1760.21216,123.00000,386.00000,2157.00000,2373.30518,890.35284,207.94444,552.27509,402.55899,1478.88379,18.04498,4806.00000,357102.93750,134241206272.00000,0.01255,0.00018,0.29510,0.01808,1.95581,0.23641,77.02960,0.15660,0.00055,10.60609,0.70783,0.00000,0.45601,15.66032,7.18586,0.29427,2.67577,0.17603,175.06023
71.00000,3.00000,1011.41754,673895.87500,0.03373,0.02654,2.06829,1.27841,7.75972,0.44390,97.24695,1.23456,0.06429,9.05310,0.65854,2.00000,11.20000,12.34563,4.45253,1.06103,2.93538,2.08959,6.85566,0.00000,3711.00000,205.00000,304.00000,207340.59375,138148656.00000,6.91558,5.44019,424.00000,262.07498,1590.74231,91.00000,19935.62500,253.08530,13.17981,1855.88464,135.00000,410.00000,2296.00000,2530.85352,912.76862,217.51038,601.75311,428.36575,1405.41052,20.04964,5117.00000,394294.59375,119129440256.00000,0.00559,0.00016,0.28802,0.01795,1.63562,0.24685,99.80361,0.15232,0.00057,10.22826,0.69316,0.00000,0.51122,15.23222,7.41700,0.25069,2.15241,0.18210,132.37296
